"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"turquoise","GO:0032940","secretion by cell","122/1144","341/4119",0.357771260997067,1.2881641818592,3.44507680899686,0.00046172618673651,0.0152946799356469,0.0143424865090521,"ABCA12/ACVR1C/ADCYAP1/ADRA2A/ADTRP/AP1M2/ARHGAP44/ARL4D/CACNA1B/CACNB4/CADPS/CADPS2/CALM3/CARTPT/CBLN1/CBLN4/CHRM3/CHRNB2/CLSTN3/CRH/CRHBP/DOC2A/EDN3/EFNA5/EPHA5/ERC2/FFAR4/FGF10/FGF7/FKBP1B/GNRHR/GPR151/GPR158/GPR68/GRM2/GRM7/GRP/HNF4A/HTR2A/HTR2C/IGF1/IL13RA2/ITPR1/KCNA2/KCNB1/KCNK2/KCNQ3/KIT/KMO/LIN7A/MCTP1/MEF2C/MICU3/MYB/MYH10/NAPB/NMU/NNAT/NOS2/NPY2R/NPY5R/NR4A3/NRXN1/NSF/NTSR1/OPRM1/OXCT1/PAK1/PCLO/PLCB1/PPP3CA/PPP3CB/PRICKLE1/PRKCB/PRKCE/PRSS12/PTPRN2/RAB15/RAB27B/RAB3B/RAB3C/RAB40A/RASGRP1/RBP4/RIMS1/RIMS2/RIMS3/RPH3A/RSAD2/SCG2/SDC1/SLC16A10/SLC32A1/SLC4A8/SNAP25/STEAP2/STX1A/STXBP1/STXBP5/STXBP5L/SV2B/SYBU/SYNGR1/SYNGR3/SYNJ1/SYP/SYT1/SYT10/SYT12/SYT13/SYT4/SYTL5/TAC1/TACR2/TNFRSF11A/TRH/TRPA1/UNC13A/UNC13C/VGF/VIP/VSNL1",122
"turquoise","GO:0046928","regulation of neurotransmitter secretion","23/1144","44/4119",0.522727272727273,1.8820923394787,3.64744943984317,0.000478383010759675,0.0156955187815912,0.0147183705265308,"CACNA1B/CACNB4/CALM3/GPR151/GPR158/KMO/MCTP1/MEF2C/MICU3/PPP3CA/PRKCB/RIMS1/RIMS2/RIMS3/SLC4A8/STX1A/STXBP1/STXBP5/SV2B/SYT1/SYT13/SYT4/TACR2",23
"turquoise","GO:0007214","gamma-aminobutyric acid signaling pathway","13/1144","20/4119",0.65,2.34034090909091,3.72566678566004,0.000552470196914328,0.0179552813997157,0.0168374482058597,"CACNB4/GABBR2/GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB2/GABRB3/GABRG2/GABRG3/PLCL2",13
"turquoise","GO:1902414","protein localization to cell junction","24/1144","47/4119",0.51063829787234,1.83856568962952,3.58504681865173,0.000567815265601046,0.0182815288784636,0.0171433846544969,"ARHGAP44/ASIC2/CACNG3/CLSTN3/CNIH3/DLG3/GPC6/GRIN2A/GRIP1/LRRTM1/MPP4/MPP7/NETO1/NETO2/NPHS1/NPTX1/NRXN1/NSG1/OLFM1/PCLO/RAB27B/RELN/SLITRK3/VWC2",24
"turquoise","GO:0007411","axon guidance","48/1144","114/4119",0.421052631578947,1.51601030548399,3.46435380569811,0.000593069197704422,0.018744251248548,0.0175772995437457,"ATOH7/BCL11B/BDNF/CDK5R1/CHL1/CHN1/CNTN4/CNTN5/CNTN6/DLX5/DRGX/EDN3/EFNA5/EFNB3/EGR2/EMB/EPHA3/EPHA4/EPHA5/EPHA6/EPHA7/ETV1/FLRT2/FLRT3/FZD3/GAP43/KALRN/MYH10/NELL2/NPTN/NR4A3/NRCAM/NRXN1/NRXN3/NTN4/PLXNA4/PTPRO/RELN/RET/ROBO2/SEMA3A/SEMA3E/SHH/SLIT2/SLIT3/TBR1/UNC5D/VAX1",48
"turquoise","GO:0097485","neuron projection guidance","48/1144","114/4119",0.421052631578947,1.51601030548399,3.46435380569811,0.000593069197704422,0.018744251248548,0.0175772995437457,"ATOH7/BCL11B/BDNF/CDK5R1/CHL1/CHN1/CNTN4/CNTN5/CNTN6/DLX5/DRGX/EDN3/EFNA5/EFNB3/EGR2/EMB/EPHA3/EPHA4/EPHA5/EPHA6/EPHA7/ETV1/FLRT2/FLRT3/FZD3/GAP43/KALRN/MYH10/NELL2/NPTN/NR4A3/NRCAM/NRXN1/NRXN3/NTN4/PLXNA4/PTPRO/RELN/RET/ROBO2/SEMA3A/SEMA3E/SHH/SLIT2/SLIT3/TBR1/UNC5D/VAX1",48
"turquoise","GO:0035235","ionotropic glutamate receptor signaling pathway","12/1144","18/4119",0.666666666666667,2.40034965034965,3.69182030023816,0.000650637184318067,0.0201931990988806,0.0189360409546908,"CDK5R1/GRIA1/GRIA2/GRIA3/GRIK1/GRIK2/GRIK3/GRIN2A/GRIN2B/GRIN3A/MEF2C/NRXN1",12
"turquoise","GO:0060292","long-term synaptic depression","12/1144","18/4119",0.666666666666667,2.40034965034965,3.69182030023816,0.000650637184318067,0.0201931990988806,0.0189360409546908,"ARC/CBLN1/DRD1/DRD5/GRIA1/GRM2/KCNB1/PENK/PLK2/SHANK2/SORCS3/STXBP1",12
"turquoise","GO:0120035","regulation of plasma membrane bounded cell projection organization","79/1144","209/4119",0.37799043062201,1.36096379696858,3.32094061038465,0.000790261887785417,0.0243076089591139,0.0227943020076451,"ADAMTS16/AMIGO1/ARC/ARHGAP44/ATOH7/ATP8A2/BCL11A/BDNF/CAMK1D/CDK5R1/CHN1/CHRNB2/CSMD3/CUX2/CX3CL1/DCDC2/EFNA5/EFNB3/ENC1/EPHA3/EPHA4/EPHA7/FAT3/FGF13/FSTL4/FUT9/GAP43/GPM6A/GRIN2B/HECW1/HECW2/HOMER1/INPP5F/ITPKA/KIAA0319/KIT/LUZP1/MAP2/MARK1/MCF2/NDRG4/NEDD4L/NEGR1/NGEF/NPTN/NRCAM/NRXN1/NTNG1/PAK1/PAK3/PPP3CA/PTPRO/RELN/RET/RIT2/ROBO2/RTN4R/RTN4RL1/SEMA3A/SERPINF1/SERPINI1/SEZ6/SLIT2/SNAP25/STMN2/TBC1D30/TBR1/TENM1/TENM2/TENM3/THY1/TIAM2/TNN/TOX/TRPC5/TRPC6/XK/YWHAH/ZNF804A",79
"turquoise","GO:0045956","positive regulation of calcium ion-dependent exocytosis","10/1144","14/4119",0.714285714285714,2.5718031968032,3.6527361537829,0.000841193217046892,0.0254202687081276,0.0238376914415227,"CACNA1B/DOC2A/KCNB1/PPP3CA/RPH3A/STX1A/STXBP1/SYT1/SYT10/SYT4",10
