"Gene_clean","Gene_original","Module","ENTREZID"
"BSN","BSN","black","8927"
"BSPRY","BSPRY","grey","54836"
"BST2","BST2","blue","684"
"BTBD11","BTBD11","turquoise",NA
"BTBD16","BTBD16","yellow","118663"
"BTBD17","BTBD17","grey","388419"
"BTBD8","BTBD8","yellow","284697"
"BTC","BTC","turquoise","685"
"BTG2","BTG2","blue","7832"
"BTK","BTK","green","695"
"BTN2A2","BTN2A2","blue","10385"
"BTN3A2","BTN3A2","brown","11118"
"BTNL2","BTNL2","red","56244"
"BUB1","BUB1","yellow","699"
"BUB1B","BUB1B","grey","701"
"BVES","BVES","yellow",NA
"BZRAP1","BZRAP1","red",NA
"C10orf10","C10orf10","blue",NA
"C10orf105","C10orf105","brown","414152"
"C10orf107","C10orf107","turquoise",NA
"C10orf11","C10orf11","blue",NA
"C10orf111","C10orf111","brown",NA
"C10orf128","C10orf128","yellow",NA
"C10orf35","C10orf35","turquoise",NA
"C10orf54","C10orf54","blue",NA
"C10orf67","C10orf67","turquoise","256815"
"C10orf68","C10orf68","grey",NA
"C10orf82","C10orf82","turquoise",NA
"C10orf85","C10orf85","brown",NA
"C10orf90","C10orf90","yellow","118611"
"C10orf95","C10orf95","grey","79946"
"C11orf21","C11orf21","green","29125"
"C11orf35","C11orf35","brown",NA
"C11orf42","C11orf42","red","160298"
"C11orf65","C11orf65","yellow","160140"
"C11orf70","C11orf70","blue",NA
"C11orf87","C11orf87","turquoise","399947"
"C11orf96","C11orf96","blue","387763"
"C12orf39","C12orf39","yellow",NA
"C12orf54","C12orf54","turquoise","121273"
"C12orf55","C12orf55","grey",NA
"C12ORF55","C12ORF55","grey",NA
"C12orf68","C12orf68","turquoise",NA
"C14orf164","C14orf164","yellow",NA
"C14orf180","C14orf180","brown","400258"
"C15orf26","C15orf26","turquoise",NA
"C15orf27","C15orf27","black",NA
"C15orf37","C15orf37","red",NA
"C15orf38-AP3S2","C15orf38-AP3S2","red",NA
"C16orf3","C16orf3","red",NA
"C16orf47","C16orf47","turquoise",NA
"C16orf89","C16orf89","brown","146556"
"C16orf92","C16orf92","black","146378"
"C16orf93","C16orf93","turquoise",NA
"C16orf96","C16orf96","yellow","342346"
"C17orf102","C17orf102","turquoise",NA
"C17orf107","C17orf107","turquoise","100130311"
"C17orf50","C17orf50","grey","146853"
"C17orf72","C17orf72","blue",NA
"C17orf96","C17orf96","turquoise",NA
"C18orf42","C18orf42","turquoise",NA
"C18orf54","C18orf54","yellow","162681"
"C18orf56","C18orf56","yellow",NA
"C19orf18","C19orf18","yellow","147685"
"C19orf26","C19orf26","black",NA
"C19orf35","C19orf35","brown",NA
"C19orf38","C19orf38","brown","255809"
"C19orf40","C19orf40","yellow",NA
"C19orf45","C19orf45","yellow",NA
"C19orf77","C19orf77","turquoise",NA
"C19orf80","C19orf80","brown",NA
"C1D","C1D","turquoise","10438"
"C1orf110","C1orf110","grey",NA
"C1orf111","C1orf111","red",NA
"C1orf115","C1orf115","turquoise","79762"
"C1orf132","C1orf132","grey",NA
"C1orf145","C1orf145","turquoise",NA
"C1orf146","C1orf146","turquoise","388649"
"C1orf162","C1orf162","green","128346"
"C1orf168","C1orf168","turquoise",NA
"C1orf172","C1orf172","brown",NA
"C1orf173","C1orf173","turquoise",NA
"C1orf191","C1orf191","green",NA
"C1orf198","C1orf198","yellow","84886"
"C1orf233","C1orf233","black",NA
"C1orf64","C1orf64","blue",NA
"C1orf87","C1orf87","blue","127795"
"C1orf94","C1orf94","grey","84970"
"C1orf95","C1orf95","turquoise",NA
"C1QA","C1QA","green","712"
"C1QB","C1QB","green","713"
"C1QC","C1QC","green","714"
"C1QL2","C1QL2","brown","165257"
"C1QL3","C1QL3","red","389941"
"C1QL4","C1QL4","brown","338761"
"C1QTNF1","C1QTNF1","blue","114897"
"C1QTNF4","C1QTNF4","black","114900"
"C1QTNF6","C1QTNF6","brown","114904"
"C1QTNF7","C1QTNF7","turquoise","114905"
"C1QTNF9B","C1QTNF9B","grey","387911"
"C1R","C1R","blue","715"
"C1RL","C1RL","blue","51279"
"C1S","C1S","blue","716"
"C2","C2","green","717"
"C20orf197","C20orf197","brown",NA
"C20orf201","C20orf201","brown",NA
"C20orf26","C20orf26","turquoise",NA
"C21orf128","C21orf128","turquoise",NA
"C21orf37","C21orf37","yellow",NA
"C21orf49","C21orf49","yellow",NA
"C21orf62","C21orf62","green",NA
"C21orf67","C21orf67","turquoise",NA
"C21orf88","C21orf88","brown",NA
"C21orf91","C21orf91","yellow","54149"
"C22orf24","C22orf24","red",NA
"C22orf26","C22orf26","turquoise",NA
"C22orf34","C22orf34","blue",NA
"C2CD4B","C2CD4B","blue","388125"
"C2CD4C","C2CD4C","grey","126567"
"C2CD4D","C2CD4D","yellow","100191040"
"C2orf16","C2orf16","turquoise",NA
"C2orf40","C2orf40","grey",NA
"C2orf50","C2orf50","turquoise",NA
"C2orf62","C2orf62","green",NA
"C2orf66","C2orf66","grey","401027"
"C2orf71","C2orf71","brown",NA
"C2orf73","C2orf73","grey",NA
"C2orf74","C2orf74","grey","339804"
"C2orf80","C2orf80","turquoise","389073"
"C2orf82","C2orf82","yellow",NA
"C2orf88","C2orf88","yellow",NA
"C3","C3","green","718"
"C3AR1","C3AR1","green","719"
"C3orf20","C3orf20","red","84077"
"C3orf49","C3orf49","turquoise","132200"
"C3orf52","C3orf52","grey","79669"
"C3orf67","C3orf67","turquoise",NA
"C3orf72","C3orf72","blue",NA
"C3orf80","C3orf80","turquoise","401097"
"C3orf83","C3orf83","grey",NA
"C4A","C4A","green","720"
"C4B","C4B","green","721"
"C4orf19","C4orf19","blue",NA
"C4orf26","C4orf26","yellow",NA
"C4orf47","C4orf47","brown",NA
"C4orf48","C4orf48","brown",NA
"C4orf50","C4orf50","red","389197"
"C5AR1","C5AR1","green","728"
"C5AR2","C5AR2","green","27202"
"C5orf27","C5orf27","yellow",NA
"C5orf34","C5orf34","turquoise","375444"
"C5orf47","C5orf47","turquoise","133491"
"C5orf64","C5orf64","yellow",NA
"C6orf118","C6orf118","blue","168090"
"C6orf141","C6orf141","turquoise","135398"
"C6orf164","C6orf164","red",NA
"C6orf195","C6orf195","grey",NA
"C6orf201","C6orf201","red",NA
"C6orf223","C6orf223","red",NA
"C7","C7","blue","730"
"C7orf41","C7orf41","yellow",NA
"C7orf61","C7orf61","brown",NA
"C8orf12","C8orf12","brown",NA
"C8orf34","C8orf34","turquoise","116328"
"C8orf4","C8orf4","turquoise",NA
"C8orf47","C8orf47","grey",NA
"C8orf48","C8orf48","grey","157773"
"C9orf117","C9orf117","brown",NA
"C9orf129","C9orf129","turquoise",NA
"C9orf139","C9orf139","yellow",NA
"C9orf170","C9orf170","yellow",NA
"C9orf172","C9orf172","black",NA
"C9orf173","C9orf173","red",NA
"C9orf43","C9orf43","yellow","257169"
"C9orf84","C9orf84","brown",NA
"CA10","CA10","turquoise","56934"
"CA12","CA12","blue","771"
"CA14","CA14","yellow","23632"
"CA2","CA2","yellow","760"
"CA4","CA4","turquoise","762"
"CA7","CA7","black","766"
"CABLES1","CABLES1","brown","91768"
"CABP1","CABP1","black","9478"
"CABP4","CABP4","green","57010"
